station_id,station_name_th,station_name_en,area_th,latitude,longitude,reading_date,reading_time,pm25_ugm3,pm25_aqi,pm10_ugm3,aqi,is_chiang_mai,is_northern,retrieved_at
bkp86t,ถนนพุทธมณฑลสาย 1 ตัดกับถนนบรมราชชนนี,Phutthamonthon 1 - Borommaratchachonnani Intersection,"ริมถนนพุทธมณฑล 1 เขตตลิ่งชัน, กรุงเทพฯ",13.780778,100.426727,2026-09-05,02:00,15.7,27.0,35.0,27,False,False,2026-09-05T02:38:09
bkp87t,ตลาดธนบุรีสนามหลวง 2,Thon Buri Market Sanam Luang 2,"ริมถนนคลองทวีวัฒนา เขตทวีวัฒนา, กรุงเทพฯ",13.746257,100.355099,2026-09-05,02:00,12.4,21.0,31.0,21,False,False,2026-09-05T02:38:09
bkp88t,มหาวิทยาลัยสยาม,Siam University,"ริมถนนเพชรเกษม เขตภาษีเจริญ, กรุงเทพฯ",13.718689,100.45391,2026-09-05,02:00,21.1,41.0,,41,False,False,2026-09-05T02:38:09
bkp89t,"ริมถนนมาเจริญ เพชรเกษม 8, เขตหนองแขม","Ma Charean Roadside, Petcha Kasem 8, Nong Khaem","ริมถนนมาเจริญ เพชรเกษม 81 เขตหนองแขม, กรุงเทพฯ",13.705582,100.343164,2026-09-05,02:00,23.9,47.0,64.0,47,False,False,2026-09-05T02:38:09
bkp90t,ตลาดบางบอน 5,Bang Bon 5 Market,"ริมถนนเอกชัย เขตบางบอน, กรุงเทพฯ",13.639165,100.372958,2026-09-05,02:00,17.3,31.0,55.0,31,False,False,2026-09-05T02:38:09
bkp91t,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,King Mongkut's University of Technology Thonburi ,"ริมถนนประชาอุทิศ เขตทุ่งครุ, กรุงเทพฯ",13.651004,100.496673,2026-09-05,02:00,12.1,20.0,43.0,22,False,False,2026-09-05T02:38:09
bkp92t,สำนักงานเขตพระนคร,"Phra Nakhon District Office, Bangkok","ริมถนนสามเสน เขตพระนคร, กรุงเทพฯ",13.76415,100.499077,2026-09-05,02:00,19.1,36.0,,36,False,False,2026-09-05T02:38:09
bkp93t,สำนักงานเขตห้วยขวาง,"Huai Khwang District Office, Bangkok","เขตห้วยขวาง, กรุงเทพฯ",13.77682,100.579543,2026-09-05,02:00,10.5,18.0,35.0,18,False,False,2026-09-05T02:38:09
bkp94t,สำนักงานเขตคลองเตย,"Khlong Toei District Office, Bangkok","แขวงคลองเตย เขตคลองเตย, กรุงเทพฯ",13.708488,100.583747,2026-09-05,02:00,18.4,34.0,,34,False,False,2026-09-05T02:38:09
bkp95t,สำนักงานเขตบางซื่อ,"Bang Sue District Office, Bangkok","แขวงบางซื่อ เขตบางซื่อ, กรุงเทพฯ",13.809596,100.537883,2026-09-05,02:00,16.8,30.0,,30,False,False,2026-09-05T02:38:09
