stationID,nameTH,nameEN,areaTH,areaEN,stationType,lat,long,forecast,AQILast.date,AQILast.time,AQILast.PM25.color_id,AQILast.PM25.aqi,AQILast.PM25.value,AQILast.PM10.color_id,AQILast.PM10.aqi,AQILast.PM10.value,AQILast.O3.color_id,AQILast.O3.aqi,AQILast.O3.value,AQILast.CO.color_id,AQILast.CO.aqi,AQILast.CO.value,AQILast.NO2.color_id,AQILast.NO2.aqi,AQILast.NO2.value,AQILast.SO2.color_id,AQILast.SO2.aqi,AQILast.SO2.value,AQILast.AQI.color_id,AQILast.AQI.aqi,AQILast.AQI.param
106t,สวนสาธารณะหนองบึงกาฬ,Nong Bueng Kan Park,"ต.บึงกาฬ อ.เมือง, จ.บึงกาฬ ","Mueang, Bueng Kan",GROUND,18.362008,103.65977,[],2026-09-05,02:00,1,10,6.2,0,-999,-1,1,19,26,1,2,0.30,1,0,1,1,0,0,1,19,O3
101t,ศาลากลางจังหวัดบุรีรัมย์,Buriram City Hall,"ต.เสม็ด อ.เมือง, บุรีรัมย์","Samed Subdistrict, Mueang District, Buriram",GROUND,14.945452,103.105896,[],2026-09-05,02:00,2,29,16.4,1,16,32,0,-1,-1,0,-1,-1,1,2,5,0,-1,-1,2,29,PM25
20t,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต ,Bangkok University Rangsit Campus,"ต.คลองหนึ่ง อ.คลองหลวง, ปทุมธานี","Khlong Nueng, Khlong Luang, Pathum Thani",GROUND,14.03742,100.605216,[],2026-09-05,02:00,2,43,22.3,1,20,40,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,43,PM25
103t, สถานีตรวจอากาศหัวหิน สถานีอุตุนิยมวิทยาประจวบคีรีขันธ์,Hua Hin Weather Station Prachuap Khiri Khan Meteorological Station,"ต.หัวหิน อ.หัวหิน, ประจวบคิรีขันธ์","Hua Hin Subdistrict, Hua Hin District, Prachuap Khiri Khan",GROUND,12.577835,99.953663,[],2026-09-05,02:00,1,18,10.8,1,24,47,0,-1,-1,1,1,0.20,1,4,9,1,0,0,1,24,PM10
77t,ศาลาประชาคมบ้านบุยายใบ,Bu Yai Bai Hall Station,"ต.ท่าตูม อ.ศรีมหาโพธิ, ปราจีนบุรี","Tha Tum, SiMahaPhot, Prachin Buri",GROUND,13.917563,101.590529,[],2026-09-05,02:00,3,53,25.6,1,21,41,0,-1,-1,0,-999,-1,0,-1,-1,0,-1,-1,3,53,PM25
121t,ศูนย์ป่าไม้จังหวัดปัตตานี,Pattani Provincial Forestry Center,"ต.รูสะมิแล อ.เมือง, ปัตตานี","Mueang, Pattanee",GROUND,6.890637,101.250888,[],2026-09-05,02:00,1,12,7.4,0,-1,-1,1,8,11,1,1,0.20,1,1,3,1,0,0,1,12,PM25
21t,โรงเรียนอยุธยาวิทยาลัย,Ayutthaya Witthayalai School,"ต.ประตูชัย อ.พระนครศรีอยุธยา, พระนครศรีอยุธยา","Pratu Chai, Phra Nakhon Si Ayutthaya",GROUND,14.35222,100.565325,[],2026-09-05,02:00,2,29,16.5,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,2,29,PM25
70t,สนามกีฬาจังหวัดพะเยา,"Phayao Provincial, Phayao","ต.บ้านต๋อม อ.เมือง, พะเยา","Bantom, Meuang, Phayao",GROUND,19.200226,99.893048,[],2026-09-04,04:00,1,17,10.2,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-999,-1,-1,17,PM25
120t,สนามกีฬากลางจังหวัดพัทลุง,Phatthalung Provincial Stadium,"ต.เขาเจียก อ.เมือง, พัทลุง","Khao Chiak Subdistrict, Mueang District, Phatthalung",GROUND,7.6156514,100.0480234,[],2026-09-05,02:00,1,10,6.1,0,-1,-1,1,11,16,1,3,0.60,1,1,2,1,0,0,1,11,O3
95t,สนามกีฬาจังหวัดพิจิตร," Phichit Provincial , Phichit","ต.ในเมือง อ.เมือง, พิจิตร","Nai Mueang Subdistrict, Mueang District, Phichit",GROUND,16.442554,100.322756,[],2026-09-05,02:00,1,19,11.2,1,15,30,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,19,PM25
86t,สวนชมน่านเฉลิมพระเกียรติ,Chom Nan Chaloem Phrakiat Public Park,"ต.ในเมือง อ.เมือง, พิษณุโลก","Nai Mueang, Mueang, Phitsanulok",GROUND,16.820833,100.258056,[],2026-09-05,02:00,0,-1,-1,0,-1,-1,0,-1,-1,1,6,1.00,0,-1,-1,0,-1,-1,1,6,CO
43t,ศูนย์บริการสาธารณสุขเทศบาลภูเก็ต,Municipal Health Center,"ต.ตลาดใหญ่ อ.เมือง, ภูเก็ต","Talat Yai, Mueang, Phuket",GROUND,7.884488,98.391283,[],2026-09-04,22:00,1,10,5.7,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,1,10,PM25
114t,สวนสุขภาพประมวลสุข,Pramuan Suk Health Park,"ต.ตลาด อ.เมือง, มหาสารคาม","Talat, Muang Mahasarakham, Maha Sarakham",GROUND,16.177283,103.299824,[],2026-09-05,01:00,1,17,10.1,1,12,23,1,9,13,1,3,0.50,1,2,5,1,0,0,1,17,PM25
