location,date,pm2_5,pm10,carbon_monoxide,dust,hours_present,pm25_max,pm25_min,pm25_std,wx_temperature_2m,wx_relative_humidity_2m,wx_dew_point_2m,wx_wind_speed_10m,wx_wind_gusts_10m,wx_precipitation,wx_surface_pressure,wx_boundary_layer_height,wx_cloud_cover,wx_shortwave_radiation,wx_soil_moisture_0_to_7cm,wx_et0_fao_evapotranspiration,wx_hours_present,wx_wind_direction_10m,wx_precip_total_mm,fc_temperature_2m,fc_relative_humidity_2m,fc_wind_speed_10m,fc_precipitation,fc_surface_pressure,fc_boundary_layer_height,fc_hours_present,fc_wind_direction_10m,fc_precip_total_mm,hotspots_50km,hotspots_100km,pm25_today,pm25_tomorrow,exceed_today,exceed_tomorrow,wx_ventilation_index,pm2_5_lag0,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,pm2_5_roll3,pm2_5_roll7,pm10_lag0,pm10_lag1,pm10_lag2,pm10_lag3,pm10_roll3,pm10_roll7,carbon_monoxide_lag0,carbon_monoxide_lag1,carbon_monoxide_lag2,carbon_monoxide_lag3,carbon_monoxide_roll3,carbon_monoxide_roll7,dust_lag0,dust_lag1,dust_lag2,dust_lag3,dust_roll3,dust_roll7,pm25_max_lag0,pm25_max_lag1,pm25_max_lag2,pm25_max_lag3,pm25_max_roll3,pm25_max_roll7,pm25_std_lag0,pm25_std_lag1,pm25_std_lag2,pm25_std_lag3,pm25_std_roll3,pm25_std_roll7,wx_temperature_2m_lag0,wx_temperature_2m_lag1,wx_temperature_2m_lag2,wx_temperature_2m_lag3,wx_temperature_2m_roll3,wx_temperature_2m_roll7,wx_relative_humidity_2m_lag0,wx_relative_humidity_2m_lag1,wx_relative_humidity_2m_lag2,wx_relative_humidity_2m_lag3,wx_relative_humidity_2m_roll3,wx_relative_humidity_2m_roll7,wx_wind_speed_10m_lag0,wx_wind_speed_10m_lag1,wx_wind_speed_10m_lag2,wx_wind_speed_10m_lag3,wx_wind_speed_10m_roll3,wx_wind_speed_10m_roll7,wx_boundary_layer_height_lag0,wx_boundary_layer_height_lag1,wx_boundary_layer_height_lag2,wx_boundary_layer_height_lag3,wx_boundary_layer_height_roll3,wx_boundary_layer_height_roll7,wx_surface_pressure_lag0,wx_surface_pressure_lag1,wx_surface_pressure_lag2,wx_surface_pressure_lag3,wx_surface_pressure_roll3,wx_surface_pressure_roll7,wx_precip_total_mm_lag0,wx_precip_total_mm_lag1,wx_precip_total_mm_lag2,wx_precip_total_mm_lag3,wx_precip_total_mm_roll3,wx_precip_total_mm_roll7,wx_ventilation_index_lag0,wx_ventilation_index_lag1,wx_ventilation_index_lag2,wx_ventilation_index_lag3,wx_ventilation_index_roll3,wx_ventilation_index_roll7,wx_soil_moisture_0_to_7cm_lag0,wx_soil_moisture_0_to_7cm_lag1,wx_soil_moisture_0_to_7cm_lag2,wx_soil_moisture_0_to_7cm_lag3,wx_soil_moisture_0_to_7cm_roll3,wx_soil_moisture_0_to_7cm_roll7,hotspots_50km_lag0,hotspots_50km_lag1,hotspots_50km_lag2,hotspots_50km_lag3,hotspots_50km_roll3,hotspots_50km_roll7,hotspots_100km_lag0,hotspots_100km_lag1,hotspots_100km_lag2,hotspots_100km_lag3,hotspots_100km_roll3,hotspots_100km_roll7,pm25_delta_1d,pm25_delta_3d,pm25_above_roll7,doy_sin,doy_cos,month,dayofweek,is_weekend,is_burning_season,year,is_transition
mae_hong_son,2023-01-01,9.358333333333333,13.608333333333334,386.875,0.0,24,11.1,8.2,0.6613008699372102,21.912499999999998,69.41666666666667,15.404166666666667,3.35,10.4875,0.0,986.7291666666666,483.9583333333333,37.416666666666664,175.33333333333334,0.2881666666666666,0.1275,24,43.341832182134794,0.0,20.483333333333334,70.875,3.625,0.0,987.4666666666667,,24.0,42.00372804976263,0.0,0.0,0.0,9.358333333333333,7.395833333333333,0,0,1621.2604166666667,9.358333333333333,,,,,,13.608333333333334,,,,,,386.875,,,,,,0.0,,,,,,11.1,,,,,,0.6613008699372102,,,,,,21.912499999999998,,,,,,69.41666666666667,,,,,,3.35,,,,,,483.9583333333333,,,,,,986.7291666666666,,,,,,0.0,,,,,,1621.2604166666667,,,,,,0.2881666666666666,,,,,,0.0,,,,,,0.0,,,,,,,,,0.017201575418260506,0.9998520419557735,1,6,1,1,2023,0
mae_hong_son,2023-01-02,7.395833333333333,10.720833333333333,420.5833333333333,0.0,24,8.6,5.9,0.8410548070166398,20.483333333333334,70.875,14.054166666666667,3.625,12.791666666666666,0.0,987.4666666666667,448.5416666666667,11.0,201.58333333333334,0.28954166666666664,0.14666666666666667,24,42.00372804976263,0.0,20.462500000000002,68.33333333333333,3.3958333333333335,0.0,987.2041666666668,,24.0,25.65200085324051,0.0,0.0,2.0,7.395833333333333,6.0,0,0,1625.9635416666667,7.395833333333333,9.358333333333333,,,8.377083333333333,,10.720833333333333,13.608333333333334,,,12.164583333333333,,420.5833333333333,386.875,,,403.72916666666663,,0.0,0.0,,,0.0,,8.6,11.1,,,9.85,,0.8410548070166398,0.6613008699372102,,,0.751177838476925,,20.483333333333334,21.912499999999998,,,21.197916666666664,,70.875,69.41666666666667,,,70.14583333333334,,3.625,3.35,,,3.4875,,448.5416666666667,483.9583333333333,,,466.25,,987.4666666666667,986.7291666666666,,,987.0979166666666,,0.0,0.0,,,0.0,,1625.9635416666667,1621.2604166666667,,,1623.6119791666667,,0.28954166666666664,0.2881666666666666,,,0.28885416666666663,,0.0,0.0,,,0.0,,2.0,0.0,,,1.0,,-1.9624999999999995,,,0.03439806061360801,0.9994082116062598,1,0,0,1,2023,0
mae_hong_son,2023-01-03,6.0,8.729166666666666,352.875,0.125,24,7.5,4.8,0.7918058611421934,20.462500000000002,68.33333333333333,13.65,3.3958333333333335,11.433333333333332,0.0,987.2041666666668,431.4583333333333,2.0,204.625,0.2947083333333333,0.14416666666666667,24,25.65200085324051,0.0,21.275000000000002,71.95833333333333,3.1208333333333336,0.0,986.8833333333333,,24.0,38.78654968986996,0.0,0.0,0.0,6.0,6.5874999999999995,0,0,1465.1605902777778,6.0,7.395833333333333,9.358333333333333,,7.584722222222222,,8.729166666666666,10.720833333333333,13.608333333333334,,11.019444444444446,,352.875,420.5833333333333,386.875,,386.77777777777777,,0.125,0.0,0.0,,0.041666666666666664,,7.5,8.6,11.1,,9.066666666666666,,0.7918058611421934,0.8410548070166398,0.6613008699372102,,0.764720512698681,,20.462500000000002,20.483333333333334,21.912499999999998,,20.95277777777778,,68.33333333333333,70.875,69.41666666666667,,69.54166666666667,,3.3958333333333335,3.625,3.35,,3.4569444444444444,,431.4583333333333,448.5416666666667,483.9583333333333,,454.65277777777777,,987.2041666666668,987.4666666666667,986.7291666666666,,987.1333333333333,,0.0,0.0,0.0,,0.0,,1465.1605902777778,1625.9635416666667,1621.2604166666667,,1570.7948495370372,,0.2947083333333333,0.28954166666666664,0.2881666666666666,,0.29080555555555554,,0.0,0.0,0.0,,0.0,,0.0,2.0,0.0,,0.6666666666666666,,-1.395833333333333,,,0.051584366869408364,0.9986686402879997,1,1,0,1,2023,0
mae_hong_son,2023-01-04,6.5874999999999995,9.545833333333333,328.9166666666667,0.0,24,8.0,4.6,0.7531455774746109,21.275000000000002,71.95833333333333,15.225,3.1208333333333336,10.75,0.0,986.8833333333333,425.2083333333333,5.041666666666667,207.91666666666666,0.30041666666666667,0.14375000000000002,24,38.78654968986996,0.0,21.9875,74.75,3.591666666666667,0.0,986.3791666666666,,24.0,30.818966166308314,0.0,2.0,8.0,6.5874999999999995,7.220833333333334,0,0,1327.0043402777778,6.5874999999999995,6.0,7.395833333333333,9.358333333333333,6.661111111111111,7.335416666666666,9.545833333333333,8.729166666666666,10.720833333333333,13.608333333333334,9.665277777777776,10.651041666666666,328.9166666666667,352.875,420.5833333333333,386.875,367.4583333333333,372.3125,0.0,0.125,0.0,0.0,0.041666666666666664,0.03125,8.0,7.5,8.6,11.1,8.033333333333333,8.8,0.7531455774746109,0.7918058611421934,0.8410548070166398,0.6613008699372102,0.7953354152111481,0.7618267788926636,21.275000000000002,20.462500000000002,20.483333333333334,21.912499999999998,20.74027777777778,21.033333333333335,71.95833333333333,68.33333333333333,70.875,69.41666666666667,70.38888888888887,70.14583333333333,3.1208333333333336,3.3958333333333335,3.625,3.35,3.380555555555556,3.372916666666667,425.2083333333333,431.4583333333333,448.5416666666667,483.9583333333333,435.0694444444445,447.29166666666663,986.8833333333333,987.2041666666668,987.4666666666667,986.7291666666666,987.1847222222223,987.0708333333333,0.0,0.0,0.0,0.0,0.0,0.0,1327.0043402777778,1465.1605902777778,1625.9635416666667,1621.2604166666667,1472.7094907407409,1509.8472222222222,0.30041666666666667,0.2947083333333333,0.28954166666666664,0.2881666666666666,0.2948888888888888,0.2932083333333333,2.0,0.0,0.0,0.0,0.6666666666666666,0.5,8.0,0.0,2.0,0.0,3.3333333333333335,2.5,0.5874999999999995,-2.770833333333333,-0.7479166666666668,0.06875540848113941,0.9976335468520451,1,2,0,1,2023,0
mae_hong_son,2023-01-05,7.220833333333334,10.416666666666666,327.9166666666667,0.0,24,8.9,5.6,0.9695266288545001,21.9875,74.75,16.616666666666667,3.591666666666667,11.85,0.0,986.3791666666666,395.625,31.041666666666668,203.58333333333334,0.3047916666666666,0.14458333333333334,24,30.818966166308314,0.0,21.5125,70.375,4.645833333333333,0.0,987.0791666666668,,24.0,44.42474774483571,0.0,0.0,3.0,7.220833333333334,5.758333333333333,0,0,1420.953125,7.220833333333334,6.5874999999999995,6.0,7.395833333333333,6.602777777777778,7.3125,10.416666666666666,9.545833333333333,8.729166666666666,10.720833333333333,9.563888888888888,10.604166666666666,327.9166666666667,328.9166666666667,352.875,420.5833333333333,336.5694444444445,363.43333333333334,0.0,0.0,0.125,0.0,0.041666666666666664,0.025,8.9,8.0,7.5,8.6,8.133333333333333,8.82,0.9695266288545001,0.7531455774746109,0.7918058611421934,0.8410548070166398,0.8381593558237682,0.8033667488850309,21.9875,21.275000000000002,20.462500000000002,20.483333333333334,21.24166666666667,21.22416666666667,74.75,71.95833333333333,68.33333333333333,70.875,71.68055555555554,71.06666666666666,3.591666666666667,3.1208333333333336,3.3958333333333335,3.625,3.369444444444445,3.416666666666667,395.625,425.2083333333333,431.4583333333333,448.5416666666667,417.4305555555555,436.9583333333333,986.3791666666666,986.8833333333333,987.2041666666668,987.4666666666667,986.8222222222222,986.9325000000001,0.0,0.0,0.0,0.0,0.0,0.0,1420.953125,1327.0043402777778,1465.1605902777778,1625.9635416666667,1404.3726851851852,1492.0684027777777,0.3047916666666666,0.30041666666666667,0.2947083333333333,0.28954166666666664,0.2999722222222222,0.2955249999999999,0.0,2.0,0.0,0.0,0.6666666666666666,0.4,3.0,8.0,0.0,2.0,3.6666666666666665,2.6,0.6333333333333346,-0.17499999999999893,-0.0916666666666659,0.08590610426133272,0.9963032375991965,1,3,0,1,2023,0
mae_hong_son,2023-01-06,5.758333333333333,8.241666666666667,269.4166666666667,0.0,24,7.1,4.4,0.7773515049955464,21.5125,70.375,14.862499999999999,4.645833333333333,14.758333333333333,0.0,987.0791666666668,500.625,34.791666666666664,207.91666666666666,0.30120833333333336,0.15625,24,44.42474774483571,0.0,20.3625,61.375,4.7749999999999995,0.0,986.2583333333333,,24.0,38.14627788536882,0.0,1.0,4.0,5.758333333333333,6.3999999999999995,0,0,2325.8203125,5.758333333333333,7.220833333333334,6.5874999999999995,6.0,6.522222222222222,7.053472222222222,8.241666666666667,10.416666666666666,9.545833333333333,8.729166666666666,9.401388888888889,10.210416666666667,269.4166666666667,327.9166666666667,328.9166666666667,352.875,308.75000000000006,347.7638888888889,0.0,0.0,0.0,0.125,0.0,0.020833333333333332,7.1,8.9,8.0,7.5,8.0,8.533333333333333,0.7773515049955464,0.9695266288545001,0.7531455774746109,0.7918058611421934,0.8333412371082192,0.7990308749034502,21.5125,21.9875,21.275000000000002,20.462500000000002,21.59166666666667,21.272222222222222,70.375,74.75,71.95833333333333,68.33333333333333,72.3611111111111,70.95138888888889,4.645833333333333,3.591666666666667,3.1208333333333336,3.3958333333333335,3.7861111111111114,3.621527777777778,500.625,395.625,425.2083333333333,431.4583333333333,440.48611111111114,447.5694444444444,987.0791666666668,986.3791666666666,986.8833333333333,987.2041666666668,986.7805555555556,986.9569444444445,0.0,0.0,0.0,0.0,0.0,0.0,2325.8203125,1420.953125,1327.0043402777778,1465.1605902777778,1691.2592592592591,1631.027054398148,0.30120833333333336,0.3047916666666666,0.30041666666666667,0.2947083333333333,0.3021388888888889,0.2964722222222222,1.0,0.0,2.0,0.0,1.0,0.5,4.0,3.0,8.0,0.0,5.0,2.8333333333333335,-1.4625000000000012,-0.24166666666666714,-1.2951388888888893,0.10303137904317879,0.9946781061893646,1,4,0,1,2023,0
mae_hong_son,2023-01-07,6.3999999999999995,9.1625,293.5833333333333,0.0,24,7.9,4.8,0.8939409571009761,20.3625,61.375,11.633333333333333,4.7749999999999995,15.779166666666667,0.0,986.2583333333333,387.2916666666667,4.25,216.66666666666666,0.293375,0.15666666666666668,24,38.14627788536882,0.0,19.841666666666665,68.04166666666667,2.629166666666667,0.0,985.1999999999999,,24.0,46.63849763020022,0.0,0.0,7.0,6.3999999999999995,7.658333333333334,0,0,1849.3177083333333,6.3999999999999995,5.758333333333333,7.220833333333334,6.5874999999999995,6.459722222222222,6.960119047619047,9.1625,8.241666666666667,10.416666666666666,9.545833333333333,9.27361111111111,10.060714285714285,293.5833333333333,269.4166666666667,327.9166666666667,328.9166666666667,296.97222222222223,340.0238095238095,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,7.9,7.1,8.9,8.0,7.966666666666666,8.442857142857143,0.8939409571009761,0.7773515049955464,0.9695266288545001,0.7531455774746109,0.8802730303170075,0.8125894580745252,20.3625,21.5125,21.9875,21.275000000000002,21.287499999999998,21.142261904761906,61.375,70.375,74.75,71.95833333333333,68.83333333333333,69.58333333333333,4.7749999999999995,4.645833333333333,3.591666666666667,3.1208333333333336,4.3374999999999995,3.786309523809524,387.2916666666667,500.625,395.625,425.2083333333333,427.84722222222223,438.95833333333337,986.2583333333333,987.0791666666668,986.3791666666666,986.8833333333333,986.5722222222222,986.8571428571429,0.0,0.0,0.0,0.0,0.0,0.0,1849.3177083333333,2325.8203125,1420.953125,1327.0043402777778,1865.3637152777776,1662.211433531746,0.293375,0.30120833333333336,0.3047916666666666,0.30041666666666667,0.2997916666666666,0.2960297619047619,0.0,1.0,0.0,2.0,0.3333333333333333,0.42857142857142855,7.0,4.0,3.0,8.0,4.666666666666667,3.4285714285714284,0.6416666666666666,-0.1875,-0.5601190476190476,0.1201261651823505,0.9927586335250793,1,5,1,1,2023,0
mae_hong_son,2023-01-08,7.658333333333334,10.958333333333334,331.2916666666667,0.0,24,9.4,6.5,0.7621004536472042,19.841666666666665,68.04166666666667,12.729166666666666,2.629166666666667,9.995833333333334,0.0,985.1999999999999,375.625,14.458333333333334,213.375,0.2925833333333333,0.14541666666666667,24,46.63849763020022,0.0,20.683333333333334,67.625,2.120833333333333,0.0,985.5583333333334,,24.0,160.0160464593805,0.0,0.0,16.0,7.658333333333334,7.858333333333333,0,0,987.5807291666667,7.658333333333334,6.3999999999999995,5.758333333333333,7.220833333333334,6.605555555555555,6.717261904761904,10.958333333333334,9.1625,8.241666666666667,10.416666666666666,9.454166666666667,9.682142857142859,331.2916666666667,293.5833333333333,269.4166666666667,327.9166666666667,298.09722222222223,332.08333333333337,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,9.4,7.9,7.1,8.9,8.133333333333333,8.2,0.7621004536472042,0.8939409571009761,0.7773515049955464,0.9695266288545001,0.8111309719145755,0.8269893986045245,19.841666666666665,20.3625,21.5125,21.9875,20.572222222222223,20.84642857142857,68.04166666666667,61.375,70.375,74.75,66.59722222222223,69.38690476190476,2.629166666666667,4.7749999999999995,4.645833333333333,3.591666666666667,4.016666666666667,3.683333333333333,375.625,387.2916666666667,500.625,395.625,421.1805555555556,423.48214285714283,985.1999999999999,986.2583333333333,987.0791666666668,986.3791666666666,986.1791666666668,986.6386904761904,0.0,0.0,0.0,0.0,0.0,0.0,987.5807291666667,1849.3177083333333,2325.8203125,1420.953125,1720.90625,1571.685763888889,0.2925833333333333,0.293375,0.30120833333333336,0.3047916666666666,0.2957222222222222,0.2966607142857143,0.0,0.0,1.0,0.0,0.3333333333333333,0.42857142857142855,16.0,7.0,4.0,3.0,9.0,5.714285714285714,1.2583333333333346,0.4375,0.9410714285714299,0.13718540405660057,0.9905453876091833,1,6,1,1,2023,0
mae_hong_son,2023-01-09,7.858333333333333,11.270833333333334,290.625,0.0,24,10.2,5.0,1.6124290794425296,20.683333333333334,67.625,13.366666666666667,2.120833333333333,8.4125,0.0,985.5583333333334,363.75,10.833333333333334,209.66666666666666,0.2916666666666667,0.145,24,160.0160464593805,0.0,21.65833333333333,71.45833333333333,2.0791666666666666,0.0,984.1374999999999,,24.0,205.10324892823107,0.0,0.0,6.0,7.858333333333333,9.450000000000001,0,0,771.4531249999999,7.858333333333333,7.658333333333334,6.3999999999999995,5.758333333333333,7.3055555555555545,6.783333333333333,11.270833333333334,10.958333333333334,9.1625,8.241666666666667,10.463888888888889,9.760714285714286,290.625,331.2916666666667,293.5833333333333,269.4166666666667,305.1666666666667,313.51785714285717,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,10.2,9.4,7.9,7.1,9.166666666666666,8.428571428571429,1.6124290794425296,0.7621004536472042,0.8939409571009761,0.7773515049955464,1.0894901633969034,0.9371857232367944,20.683333333333334,19.841666666666665,20.3625,21.5125,20.29583333333333,20.875,67.625,68.04166666666667,61.375,70.375,65.68055555555556,68.92261904761905,2.120833333333333,2.629166666666667,4.7749999999999995,4.645833333333333,3.1749999999999994,3.468452380952381,363.75,375.625,387.2916666666667,500.625,375.5555555555556,411.36904761904765,985.5583333333334,985.1999999999999,986.2583333333333,987.0791666666668,985.6722222222221,986.3660714285714,0.0,0.0,0.0,0.0,0.0,0.0,771.4531249999999,987.5807291666667,1849.3177083333333,2325.8203125,1202.7838541666667,1449.6128472222222,0.2916666666666667,0.2925833333333333,0.293375,0.30120833333333336,0.2925416666666667,0.2969642857142857,0.0,0.0,0.0,1.0,0.0,0.42857142857142855,6.0,16.0,7.0,4.0,9.666666666666666,6.285714285714286,0.1999999999999993,2.1000000000000005,1.0750000000000002,0.1542040475626894,0.988039023376751,1,0,0,1,2023,0
mae_hong_son,2023-01-10,9.450000000000001,13.566666666666668,290.2083333333333,0.0,24,13.0,6.0,1.8132363571681782,21.65833333333333,71.45833333333333,15.491666666666667,2.0791666666666666,8.183333333333334,0.0,984.1374999999999,411.6666666666667,24.125,201.66666666666666,0.29016666666666663,0.14125000000000001,24,205.10324892823107,0.0,22.766666666666666,60.75,2.5541666666666667,0.0,982.2624999999999,,24.0,285.1341225470643,0.0,1.0,10.0,9.450000000000001,7.591666666666666,0,0,855.9236111111111,9.450000000000001,7.858333333333333,7.658333333333334,6.3999999999999995,8.322222222222223,7.276190476190477,13.566666666666668,11.270833333333334,10.958333333333334,9.1625,11.931944444444445,10.451785714285714,290.2083333333333,290.625,331.2916666666667,293.5833333333333,304.0416666666667,304.5654761904762,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.2,9.4,7.9,10.866666666666667,9.214285714285714,1.8132363571681782,1.6124290794425296,0.7621004536472042,0.8939409571009761,1.395921963419304,1.083104365526221,21.65833333333333,20.683333333333334,19.841666666666665,20.3625,20.727777777777778,21.04583333333333,71.45833333333333,67.625,68.04166666666667,61.375,69.04166666666667,69.36904761904762,2.0791666666666666,2.120833333333333,2.629166666666667,4.7749999999999995,2.276388888888889,3.2803571428571425,411.6666666666667,363.75,375.625,387.2916666666667,383.6805555555555,408.54166666666663,984.1374999999999,985.5583333333334,985.1999999999999,986.2583333333333,984.9652777777778,985.9279761904762,0.0,0.0,0.0,0.0,0.0,0.0,855.9236111111111,771.4531249999999,987.5807291666667,1849.3177083333333,871.652488425926,1362.5789930555554,0.29016666666666663,0.2916666666666667,0.2925833333333333,0.293375,0.2914722222222222,0.29631547619047616,1.0,0.0,0.0,0.0,0.3333333333333333,0.5714285714285714,10.0,6.0,16.0,7.0,10.666666666666666,7.714285714285714,1.5916666666666677,3.0500000000000016,2.173809523809524,0.17117705961019986,0.985240282501282,1,1,0,1,2023,0
